Country,Projects
Nigeria,49
Cameroun,2
Ivory Coast,1
Ethiopia,1
Ghana,3
Kenya,1
Liberia,1
Benin,2
Sierra Leone,3
Senegal,1
Somalia,2
South Sudan,1
Niger,1
Mali,1
Botswana,1
Kenya,2
Gambia,1
Democratic Republic of Congo,1
